text,label,original_text
הודעה: Are you taking a shower? I'm done with the night prayer and want to go to bed.,ham,Are you taking a shower? I'm done with the night prayer and want to go to bed.
"הודעה: Halo, saldo akun Voicespin Test_account Anda adalah 202.0. Kecuali Anda segera mengisi ulang saldo, akan mencapai batas kredit dan akan diblokir secara otomatis.",ham,"Halo, saldo akun Voicespin Test_account Anda adalah 202.0. Kecuali Anda segera mengisi ulang saldo, akan mencapai batas kredit dan akan diblokir secara otomatis."
התקשר 4575 for customer support,ham,Call 4575 for customer support
your חשבון balance is $2699,ham,Your account balance is $2699
debt relief program: get out of debt fast! התקשר 7358,spam,Debt relief program: Get out of debt fast! Call 7358
פרס winner! claim your $2274 gift card at bit.ly/123,phishing,Prize winner! Claim your $2274 gift card at bit.ly/123
הודעה: Apa pendapat Anda tentang saya? 1. Berlebihan 2. Jada 3. Kusruthi 4. Menyayangi 5. Pendiam 6. Karakter unik 7. Belum matang 8. Stylish 9. Sederhana Tolong balasannya..,ham,Apa pendapat Anda tentang saya? 1. Berlebihan 2. Jada 3. Kusruthi 4. Menyayangi 5. Pendiam 6. Karakter unik 7. Belum matang 8. Stylish 9. Sederhana Tolong balasannya..
debt relief program: get out of debt fast! התקשר 8078,spam,Debt relief program: Get out of debt fast! Call 8078
דחוף: your פרס is waiting! התקשר 8314,spam,URGENT: Your prize is waiting! Call 8314
דחוף: your פרס is waiting! התקשר 6382,spam,URGENT: Your prize is waiting! Call 6382
דחוף: your פרס is waiting! התקשר 9923,spam,URGENT: Your prize is waiting! Call 9923
your entry won! claim $547 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $547 cash prize at tinyurl.com/abc
הודעה: Your verification code is 4132,ham,Your verification code is 4132
win 1558 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 1558 NOW! Click goo.gl/xyz to claim!
"הודעה: Halo, saldo akun Voicespin Test_Account Anda adalah 10,0. Kecuali Anda mengisinya segera, akan mencapai batas kredit dan akan diblokir secara otomatis.",ham,"Halo, saldo akun Voicespin Test_Account Anda adalah 10,0. Kecuali Anda mengisinya segera, akan mencapai batas kredit dan akan diblokir secara otomatis."
הודעה: Your tax refund of $3083 is ready. Claim at bit.ly/123,phishing,Your tax refund of $3083 is ready. Claim at bit.ly/123
הודעה: Jangan selalu mengharapkan bahwa itu akan selesai sebelum Anda kembali karena saya baru akan pergi sekarang.,ham,Jangan selalu mengharapkan bahwa itu akan selesai sebelum Anda kembali karena saya baru akan pergi sekarang.
הודעה: Your verification code is 3783,ham,Your verification code is 3783
your חשבון balance is $4552,ham,Your account balance is $4552
דחוף: your פרס is waiting! התקשר 4449,spam,URGENT: Your prize is waiting! Call 4449
הודעה: Your tax refund of $2341 is ready. Claim at bit.ly/123,phishing,Your tax refund of $2341 is ready. Claim at bit.ly/123
"plz note: if anyone calling from a mobile co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . do not do so. disconnect the התקשר,coz it iz an attempt of 'terrorist' to make use of the sim card לא. itz confirmd by nokia n motorola n has been verified by cnn ibn.",ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
your entry won! claim $3118 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $3118 cash prize at goo.gl/xyz
"הודעה: Ahaha ... Devo davvero ricordare di mangiare quando sto bevendo, ma apprezzo che tu abbia tenuto compagnia quella notte *sorride*",ham,"Ahaha ... Devo davvero ricordare di mangiare quando sto bevendo, ma apprezzo che tu abbia tenuto compagnia quella notte *sorride*"
דחוף: your פרס is waiting! התקשר 8406,spam,URGENT: Your prize is waiting! Call 8406
פרס winner! claim your $1461 gift card at bit.ly/123,phishing,Prize winner! Claim your $1461 gift card at bit.ly/123
your entry won! claim $4330 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $4330 cash prize at tinyurl.com/abc
פרס winner! claim your $2705 gift card at bit.ly/123,phishing,Prize winner! Claim your $2705 gift card at bit.ly/123
פרס winner! claim your $1940 gift card at bit.ly/123,phishing,Prize winner! Claim your $1940 gift card at bit.ly/123
debt relief program: get out of debt fast! התקשר 9992,spam,Debt relief program: Get out of debt fast! Call 9992
win 574 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 574 NOW! Click bit.ly/123 to claim!
win 1822 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 1822 NOW! Click tinyurl.com/abc to claim!
הודעה: Your payment of $4743 was processed,ham,Your payment of $4743 was processed
win 1076 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 1076 NOW! Click goo.gl/xyz to claim!
פרס winner! claim your $1638 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $1638 gift card at tinyurl.com/abc
פרס winner! claim your $2847 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $2847 gift card at goo.gl/xyz
דחוף: your פרס is waiting! התקשר 8988,spam,URGENT: Your prize is waiting! Call 8988
הודעה: 8007 25p 4 Lagu Children in Need Alfie Moon di ponsel Anda. Beritahu teman-teman Anda. Kirim pesan TONE CHARITY ke 8007 untuk Nokia atau POLY CHARITY untuk polifonik: zed 08701417012 keuntungan 2 amal.,spam,8007 25p 4 Lagu Children in Need Alfie Moon di ponsel Anda. Beritahu teman-teman Anda. Kirim pesan TONE CHARITY ke 8007 untuk Nokia atau POLY CHARITY untuk polifonik: zed 08701417012 keuntungan 2 amal.
your entry won! claim $4446 cash פרס at bit.ly/123,spam,Your entry won! Claim $4446 cash prize at bit.ly/123
הודעה: Also andros hielo etc etc.,ham,Also andros hielo etc etc.
הודעה: Your verification code is 1089,ham,Your verification code is 1089
חינם iphone 15! enter code 9288 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 9288 at tinyurl.com/abc
"הודעה: Chat TEXTBUDDY baru menawarkan 2 pria horny di daerah Anda hanya dengan 25 sen. Gratis untuk menerima. Cari kode pos di gaytextbuddy.com. Kirim SMS dengan nama KE 89693. Untuk berhenti, balas dengan Stop. Untuk membatalkan, hubungi 08715500022.",spam,"Chat TEXTBUDDY baru menawarkan 2 pria horny di daerah Anda hanya dengan 25 sen. Gratis untuk menerima. Cari kode pos di gaytextbuddy.com. Kirim SMS dengan nama KE 89693. Untuk berhenti, balas dengan Stop. Untuk membatalkan, hubungi 08715500022."
your entry won! claim $2467 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $2467 cash prize at goo.gl/xyz
הודעה: Package detained at the terminal: http://ffnst.com/7DH557,phishing,Package detained at the terminal: http://ffnst.com/7DH557
i was just callin to say היי. take care bruv!,ham,I was just callin to say hi. Take care bruv!
your חשבון balance is $1463,ham,Your account balance is $1463
דחוף: your פרס is waiting! התקשר 6268,spam,URGENT: Your prize is waiting! Call 6268
חינם iphone 15! enter code 9329 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 9329 at tinyurl.com/abc
הודעה: K.:)you are the only girl waiting in reception ah?,ham,K.:)you are the only girl waiting in reception ah?
פרס winner! claim your $3180 gift card at bit.ly/123,phishing,Prize winner! Claim your $3180 gift card at bit.ly/123
הודעה: Your verification code is 1223,ham,Your verification code is 1223
win 1323 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 1323 NOW! Click bit.ly/123 to claim!
הודעה: Package is held at the terminal: http://ffnst.com/7DH42,phishing,Package is held at the terminal: http://ffnst.com/7DH42
win 4386 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 4386 NOW! Click tinyurl.com/abc to claim!
win 4587 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 4587 NOW! Click bit.ly/123 to claim!
"הודעה: Netflix: You got Netflix from Telkomsel! To start watching TV shows and movies, activate: m.netflix.com/cHSv0271K4z",ham,"Netflix: You got Netflix from Telkomsel! To start watching TV shows and movies, activate: m.netflix.com/cHSv0271K4z"
"הודעה: Halo, 2malam ini adalah malam keberuntunganmu! Kamu telah diundang ke XCHAT, obrolan paling liar di Inggris! Ketik CHAT ke 86688 sekarang! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18thn",spam,"Halo, 2malam ini adalah malam keberuntunganmu! Kamu telah diundang ke XCHAT, obrolan paling liar di Inggris! Ketik CHAT ke 86688 sekarang! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18thn"
הודעה: WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
"הודעה: Biarkan hatimu menjadi kompasmu, pikiranmu menjadi peta mu, jiwa mu menjadi panduanmu, dan kamu tidak akan pernah tersesat di dunia ini. Selamat malam :) - Dikirim melalui WAY2SMS.COM",ham,"Biarkan hatimu menjadi kompasmu, pikiranmu menjadi peta mu, jiwa mu menjadi panduanmu, dan kamu tidak akan pernah tersesat di dunia ini. Selamat malam :) - Dikirim melalui WAY2SMS.COM"
הודעה: Exclusive Offer: Get 50% off on your next purchase at SuperShoes. Visit www.supershoes.com/offers. Unsubscribe at bit.ly/com37384,spam,Exclusive Offer: Get 50% off on your next purchase at SuperShoes. Visit www.supershoes.com/offers. Unsubscribe at bit.ly/com37384
פרס winner! claim your $4256 gift card at bit.ly/123,phishing,Prize winner! Claim your $4256 gift card at bit.ly/123
הודעה: Kode keamanan Discord Anda adalah: 061977 \,ham,Kode keamanan Discord Anda adalah: 061977 \
debt relief program: get out of debt fast! התקשר 2399,spam,Debt relief program: Get out of debt fast! Call 2399
הודעה: Dapatkan penguat data seluler gratis setiap kali Anda mengambil rencana telepon baru di MobileNet. Hubungi kami di 800-555-0199 atau kunjungi www.mobilenet.com/30.,phishing,Dapatkan penguat data seluler gratis setiap kali Anda mengambil rencana telepon baru di MobileNet. Hubungi kami di 800-555-0199 atau kunjungi www.mobilenet.com/30.
הודעה: Package held at the terminal: http://ffnst.com/7DH1088,phishing,Package held at the terminal: http://ffnst.com/7DH1088
פרס winner! claim your $1063 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $1063 gift card at goo.gl/xyz
your חשבון balance is $3929,ham,Your account balance is $3929
"הודעה: Saudaraku, semoga Anda memiliki bulan yang menyenangkan. Hanya ingin mengatakan hai. Abiola",ham,"Saudaraku, semoga Anda memiliki bulan yang menyenangkan. Hanya ingin mengatakan hai. Abiola"
your entry won! claim $2507 cash פרס at bit.ly/123,spam,Your entry won! Claim $2507 cash prize at bit.ly/123
you need to send money the irs עכשיו at https://tinyurl.com/9031,spam,You need to send money the IRS NOW at https://tinyurl.com/9031
חינם iphone 15! enter code 2515 at bit.ly/123,spam,FREE iPhone 15! Enter code 2515 at bit.ly/123
פרס winner! claim your $3484 gift card at bit.ly/123,phishing,Prize winner! Claim your $3484 gift card at bit.ly/123
הודעה: Sto aspettando la tua chiamata signore.,ham,Sto aspettando la tua chiamata signore.
debt relief program: get out of debt fast! התקשר 3142,spam,Debt relief program: Get out of debt fast! Call 3142
הודעה: Your IRS tax refund is pending acceptance. Must accept within 24 hours: http://bit.ly/ pending acceptance. Must accept within 24 hours: http://bit.ly/sdfsdf,phishing,Your IRS tax refund is pending acceptance. Must accept within 24 hours: http://bit.ly/ pending acceptance. Must accept within 24 hours: http://bit.ly/sdfsdf
הודעה: Package detained at the terminal: http://ffnst.com/7DH173,phishing,Package detained at the terminal: http://ffnst.com/7DH173
הודעה: Your tax refund of $4500 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4500 is ready. Claim at tinyurl.com/abc
הודעה: Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,spam,Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#
חינם iphone 15! enter code 4680 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 4680 at tinyurl.com/abc
הודעה: Your tax refund of $4103 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4103 is ready. Claim at tinyurl.com/abc
התקשר 8529 for customer support,ham,Call 8529 for customer support
debt relief program: get out of debt fast! התקשר 3430,spam,Debt relief program: Get out of debt fast! Call 3430
debt relief program: get out of debt fast! התקשר 9644,spam,Debt relief program: Get out of debt fast! Call 9644
book which lesson? then you msg me... i will התקשר up after work or sth... i'm going to get specs. my membership is px3748,ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
הודעה: Your order #4872 has been shipped.,ham,Your order #4872 has been shipped.
הודעה: Your payment of $3587 was processed,ham,Your payment of $3587 was processed
"הודעה: Doppelte Minuten & 1000 SMS-Nachrichten bei Orange Tarifen. Neue Modelle von Motorola, SonyEricsson & Nokia mit kostenlosem Bluetooth! Ruf MobileUpd8 unter 08000839402 an oder call2optout/HF8.",spam,"Doppelte Minuten & 1000 SMS-Nachrichten bei Orange Tarifen. Neue Modelle von Motorola, SonyEricsson & Nokia mit kostenlosem Bluetooth! Ruf MobileUpd8 unter 08000839402 an oder call2optout/HF8."
"הודעה: Halo, saldo akun Voicespin INTENDA_GROUP_LIMITED Anda saat ini 25.36. Kecuali Anda mengisinya segera, saldo akan mencapai batas kredit dan akun akan diblokir au.",ham,"Halo, saldo akun Voicespin INTENDA_GROUP_LIMITED Anda saat ini 25.36. Kecuali Anda mengisinya segera, saldo akan mencapai batas kredit dan akun akan diblokir au."
פרס winner! claim your $3638 gift card at bit.ly/123,phishing,Prize winner! Claim your $3638 gift card at bit.ly/123
הודעה: Your verification code is 8056,ham,Your verification code is 8056
חינם iphone 15! enter code 4318 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 4318 at goo.gl/xyz
הודעה: Your order #7507 has been shipped.,ham,Your order #7507 has been shipped.
הודעה: hemat uang untuk lingerie pernikahan di www.bridal.petticoatdreams.co.uk Pilih dari berbagai pilihan dengan pengiriman nasional. Dibawa kepada Anda oleh WeddingFriend,spam,hemat uang untuk lingerie pernikahan di www.bridal.petticoatdreams.co.uk Pilih dari berbagai pilihan dengan pengiriman nasional. Dibawa kepada Anda oleh WeddingFriend
הודעה: Your tax refund of $2752 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $2752 is ready. Claim at tinyurl.com/abc
הודעה: Tell me again what your address is,ham,Tell me again what your address is
התקשר 9295 for customer support,ham,Call 9295 for customer support
הודעה: Your verification code is 4227,ham,Your verification code is 4227
you need to send money the irs עכשיו at https://tinyurl.com/8938,spam,You need to send money the IRS NOW at https://tinyurl.com/8938
הודעה: Your tax refund of $4641 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4641 is ready. Claim at tinyurl.com/abc
win 3626 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3626 NOW! Click goo.gl/xyz to claim!
הודעה: Your verification code is 4077,ham,Your verification code is 4077
debt relief program: get out of debt fast! התקשר 5914,spam,Debt relief program: Get out of debt fast! Call 5914
your entry won! claim $2092 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $2092 cash prize at goo.gl/xyz
"הודעה: Terima kasih atas apresiasi dan kepercayaan Anda dalam menggunakan layanan Telkomsel. Untuk masukan lebih lanjut, mohon saran dan kirim SMS ke 1166 (GRATIS)(untuk biaya internasional).",spam,"Terima kasih atas apresiasi dan kepercayaan Anda dalam menggunakan layanan Telkomsel. Untuk masukan lebih lanjut, mohon saran dan kirim SMS ke 1166 (GRATIS)(untuk biaya internasional)."
win 3536 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3536 NOW! Click goo.gl/xyz to claim!
חינם iphone 15! enter code 2474 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 2474 at tinyurl.com/abc
your entry won! claim $3533 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $3533 cash prize at tinyurl.com/abc
"הודעה: K, mandami un messaggio quando sei in viaggio",ham,"K, mandami un messaggio quando sei in viaggio"
your entry won! claim $2275 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $2275 cash prize at goo.gl/xyz
"הודעה: PORNOGRAFI HARDCORE TANPA BATAS GRATIS langsung ke ponsel Anda. Ketik PORN ke 69200 & dapatkan akses GRATIS selama 24 jam, kemudian akan dikenakan biaya 50p per hari. Ketik Stop 2 untuk keluar. Pesan ini gratis.",spam,"PORNOGRAFI HARDCORE TANPA BATAS GRATIS langsung ke ponsel Anda. Ketik PORN ke 69200 & dapatkan akses GRATIS selama 24 jam, kemudian akan dikenakan biaya 50p per hari. Ketik Stop 2 untuk keluar. Pesan ini gratis."
your entry won! claim $1237 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $1237 cash prize at goo.gl/xyz
הודעה: Your payment of $1580 was processed,ham,Your payment of $1580 was processed
win 1602 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 1602 NOW! Click bit.ly/123 to claim!
debt relief program: get out of debt fast! התקשר 7286,spam,Debt relief program: Get out of debt fast! Call 7286
דחוף: your פרס is waiting! התקשר 4660,spam,URGENT: Your prize is waiting! Call 4660
"הודעה: Dia adalah saudari kita. Dia adalah bagian dari keluarga kita. Dia adalah harapan hari esok. Berdoalah untuknya, yang tertimpa musibah kereta api di Shoranur. Mari kita bergandengan tangan bersama dan didorong oleh cinta dan kepedulian sebelum kesedihannya dan rasa sakitnya. Tolong bergabung dalam rantai ini dan sebarkan pesan ini. TOLAK KEKERASAN TERHADAP PEREMPUAN.",ham,"Dia adalah saudari kita. Dia adalah bagian dari keluarga kita. Dia adalah harapan hari esok. Berdoalah untuknya, yang tertimpa musibah kereta api di Shoranur. Mari kita bergandengan tangan bersama dan didorong oleh cinta dan kepedulian sebelum kesedihannya dan rasa sakitnya. Tolong bergabung dalam rantai ini dan sebarkan pesan ini. TOLAK KEKERASAN TERHADAP PEREMPUAN."
הודעה: So what do you guys do.,ham,So what do you guys do.
your entry won! claim $3977 cash פרס at bit.ly/123,spam,Your entry won! Claim $3977 cash prize at bit.ly/123
חינם iphone 15! enter code 2177 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 2177 at goo.gl/xyz
"הודעה: Sto aspettando il signore, sta parlando con un cliente.",ham,"Sto aspettando il signore, sta parlando con un cliente."
win 3769 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 3769 NOW! Click bit.ly/123 to claim!
"שלום darling how are you היום? i would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
חינם iphone 15! enter code 4129 at bit.ly/123,spam,FREE iPhone 15! Enter code 4129 at bit.ly/123
"הודעה: Capisco. Quando finiamo, abbiamo un sacco di prestiti da pagare",ham,"Capisco. Quando finiamo, abbiamo un sacco di prestiti da pagare"
דחוף: your פרס is waiting! התקשר 7327,spam,URGENT: Your prize is waiting! Call 7327
win 2196 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 2196 NOW! Click bit.ly/123 to claim!
דחוף: your פרס is waiting! התקשר 3190,spam,URGENT: Your prize is waiting! Call 3190
הודעה: Package held at the terminal: http://ffnst.com/7DH1084,phishing,Package held at the terminal: http://ffnst.com/7DH1084
הודעה: Your tax refund of $1621 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $1621 is ready. Claim at goo.gl/xyz
חינם iphone 15! enter code 3380 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 3380 at goo.gl/xyz
הודעה: Your verification code is 9341,ham,Your verification code is 9341
פרס winner! claim your $2330 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2330 gift card at tinyurl.com/abc
הודעה: Wait 2 min..stand at bus stop,ham,Wait 2 min..stand at bus stop
your חשבון balance is $579,ham,Your account balance is $579
"this שלח הודעה appears to be a mix of languages (english and indonesian). here is the translation to french:

yah saya dikostan temen dil. hihi

it seems that the שלח הודעה doesn't have a specific meaning in french either.",ham,"This text appears to be a mix of languages (English and Indonesian). Here is the translation to French:

Yah saya dikostan temen dil. Hihi

It seems that the text doesn't have a specific meaning in French either."
חינם iphone 15! enter code 1378 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 1378 at goo.gl/xyz
debt relief program: get out of debt fast! התקשר 4144,spam,Debt relief program: Get out of debt fast! Call 4144
פרס winner! claim your $2145 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2145 gift card at tinyurl.com/abc
הודעה: Premi asuransi jiwa bertambah seiring bertambahnya usia. Beli Asuransi Jiwa 1 Cr sekarang & bayar Rs5390 daripada Rs5603 setelah ulang tahun Anda. Ajukan di rml.lu/KQgkgv4,spam,Premi asuransi jiwa bertambah seiring bertambahnya usia. Beli Asuransi Jiwa 1 Cr sekarang & bayar Rs5390 daripada Rs5603 setelah ulang tahun Anda. Ajukan di rml.lu/KQgkgv4
הודעה: Sto andando a letto ora.,ham,Sto andando a letto ora.
win 2867 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 2867 NOW! Click goo.gl/xyz to claim!
הודעה: Your tax refund of $4188 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4188 is ready. Claim at tinyurl.com/abc
win 3426 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3426 NOW! Click goo.gl/xyz to claim!
debt relief program: get out of debt fast! התקשר 9226,spam,Debt relief program: Get out of debt fast! Call 9226
win 3860 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3860 NOW! Click goo.gl/xyz to claim!
פרס winner! claim your $2216 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $2216 gift card at goo.gl/xyz
your entry won! claim $3078 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $3078 cash prize at tinyurl.com/abc
דחוף: your פרס is waiting! התקשר 8171,spam,URGENT: Your prize is waiting! Call 8171
הודעה: Your tax refund of $4004 is ready. Claim at bit.ly/123,phishing,Your tax refund of $4004 is ready. Claim at bit.ly/123
הודעה: rward to seeing you on board. Singapore Airlines,ham,rward to seeing you on board. Singapore Airlines
your binance login verification code: 783323. do not share this code with anyone. visit your binance חשבון עכשיו.,ham,Your Binance login verification code: 783323. Do not share this code with anyone. Visit your Binance account now.
"הודעה: Maaf, saya tidak mengerti pertanyaan Anda. Bisakah Anda memberikan konteks lebih lanjut atau mengajukan pertanyaan dengan cara yang lebih jelas? Terima kasih.",ham,"Maaf, saya tidak mengerti pertanyaan Anda. Bisakah Anda memberikan konteks lebih lanjut atau mengajukan pertanyaan dengan cara yang lebih jelas? Terima kasih."
saya rasa anda seharusnya memilih jalan kejujuran. hubungi בנק besok. keputusan sulitlah yang membuat kita menjadi orang hebat.,ham,Saya rasa Anda seharusnya memilih jalan kejujuran. Hubungi bank besok. Keputusan sulitlah yang membuat kita menjadi orang hebat.
הודעה: Your verification code is 2275,ham,Your verification code is 2275
"הודעה: GRATIS per la prima settimana! Numero 1 suoneria Nokia per il tuo cellulare ogni settimana, basta inviare un SMS con la scritta NOKIA al 87077. Inizia a mandare messaggi e informa i tuoi amici. zed POBox 36504 W45WQ costo normale 150p/suoneria 16+",spam,"GRATIS per la prima settimana! Numero 1 suoneria Nokia per il tuo cellulare ogni settimana, basta inviare un SMS con la scritta NOKIA al 87077. Inizia a mandare messaggi e informa i tuoi amici. zed POBox 36504 W45WQ costo normale 150p/suoneria 16+"
"הודעה: Catatan kami menunjukkan Anda mungkin berhak atas 5000 pound dalam bentuk kompensasi atas kecelakaan yang dialami. Untuk mengajukan klaim secara gratis, balas dengan KLAIm ke pesan ini. Untuk berhenti, balas dengan STOP.",spam,"Catatan kami menunjukkan Anda mungkin berhak atas 5000 pound dalam bentuk kompensasi atas kecelakaan yang dialami. Untuk mengajukan klaim secara gratis, balas dengan KLAIm ke pesan ini. Untuk berhenti, balas dengan STOP."
"הודעה: If there is progress, come over tomorrow around 2 o'clock.",ham,"If there is progress, come over tomorrow around 2 o'clock."
"כן, i'm small kid.. and boost is the secret of my energy..",ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
debt relief program: get out of debt fast! התקשר 9578,spam,Debt relief program: Get out of debt fast! Call 9578
הודעה: Your verification code is 5472,ham,Your verification code is 5472
חינם iphone 15! enter code 6821 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 6821 at goo.gl/xyz
your entry won! claim $4746 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $4746 cash prize at goo.gl/xyz
"הודעה: Maaf, saya tidak mengerti pesan Anda. Bisakah Anda memberikan konteks atau menjelaskan lebih lanjut?",ham,"Maaf, saya tidak mengerti pesan Anda. Bisakah Anda memberikan konteks atau menjelaskan lebih lanjut?"
debt relief program: get out of debt fast! התקשר 9782,spam,Debt relief program: Get out of debt fast! Call 9782
דחוף: your פרס is waiting! התקשר 5361,spam,URGENT: Your prize is waiting! Call 5361
הודעה: Your tax refund of $691 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $691 is ready. Claim at tinyurl.com/abc
הודעה: Hallo mein eigener Chef. Ich habe mein Handy zuhause vergessen und habe gerade deine Nachrichten gesehen. Ich hoffe es geht dir gut. Hab ein tolles Wochenende.,ham,Hallo mein eigener Chef. Ich habe mein Handy zuhause vergessen und habe gerade deine Nachrichten gesehen. Ich hoffe es geht dir gut. Hab ein tolles Wochenende.
היי baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? התקשר me later ortxt back jess xx,ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
הודעה: Package held at the terminal: http://ffnst.com/7DH939,phishing,Package held at the terminal: http://ffnst.com/7DH939
"<#> חשבון: 731991 is your samsung חשבון verification code.\
bp2rorn3fzq",ham,"<#> Account: 731991 is your Samsung account verification code.\
bP2ROrn3fZQ"
הודעה: Your payment of $3185 was processed,ham,Your payment of $3185 was processed
hot summer sale! buy one get one חינם on all beachwear at trendystyles. shop עכשיו at www.trendystyles.com/sale45,spam,Hot Summer Sale! Buy one get one free on all beachwear at TrendyStyles. Shop now at www.trendystyles.com/sale45
פרס winner! claim your $1175 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $1175 gift card at tinyurl.com/abc
הודעה: Your verification code is 5125,ham,Your verification code is 5125
your entry won! claim $1255 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $1255 cash prize at tinyurl.com/abc
דחוף: your פרס is waiting! התקשר 3154,spam,URGENT: Your prize is waiting! Call 3154
לא problem. how are you doing?,ham,No problem. How are you doing?
התקשר 5503 for customer support,ham,Call 5503 for customer support
debt relief program: get out of debt fast! התקשר 8908,spam,Debt relief program: Get out of debt fast! Call 8908
הודעה: Your tax refund of $3197 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $3197 is ready. Claim at goo.gl/xyz
"הודעה: Package held at the terminal: http://ffnst.com/7DH1045

Paket im Terminal festgehalten: http://ffnst.com/7DH1045",phishing,"Package held at the terminal: http://ffnst.com/7DH1045

Paket im Terminal festgehalten: http://ffnst.com/7DH1045"
פרס winner! claim your $2398 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2398 gift card at tinyurl.com/abc
win 1193 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 1193 NOW! Click tinyurl.com/abc to claim!
"הודעה: Maaf, tetapi teks tersebut tidak jelas atau tidak memiliki makna yang dapat diterjemahkan. Jika Anda memiliki pertanyaan atau informasi tambahan, silakan berikan agar saya dapat membantu Anda dengan lebih baik.Terima kasih!",ham,"Maaf, tetapi teks tersebut tidak jelas atau tidak memiliki makna yang dapat diterjemahkan. Jika Anda memiliki pertanyaan atau informasi tambahan, silakan berikan agar saya dapat membantu Anda dengan lebih baik.Terima kasih!"
