Kategori,Pesan
ham,Senin mah pelepasan doang kan? Aku brngktnya selasa apa egi senin berangktnya? 
spam,Promo diperpanjang! Gratis MIFI(modem) 4G hanya untukmu. Tunjukan SMS ini di Galeri Smartfren & isi pulsa 100rb utk bawa pulang MIFI favoritmu. s/d23Nov. DL40K
ham,Jam brp brpnya bsk kabarin kalau ngumpul sore ini bisa yaaaa 
ham,Geng hari ini mau jam brpa ? Respon yah...
spam,"Selamat! Anda berhak membeli PAKET PAS untuk Nelpon, SMS, Internetan, Video, dan NSP. Pilih paketnya MULAI Rp500 di *100*999#, hanya berlaku HARI INI! Info: 188"
ham,Bali mah kudu berapa atuh duitnya
ham,"Selain dicetak, rundown jg dkrm ke email di nama1 nuhun. Dtgu d prodi sampai 4.30. Dipercepat 30 menit."
spam,Pelanggan YTH. SIMCARD Anda sbg Pemenang Mendptkan HADIAH Mobil Toyota ALL NEW YARIS PIN:8JF2177 dari GEBYAR UNDIAN 3 CARE Untuk Info Lenkap Klik: www.infogebyarhadiah3care.blogspot.co.id
ham,"Btw magicomnya yg sedang Gais, gaada yg gede"
spam,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1
spam,Nikmati Discount 20% di Bakmi GM setiap hari hny dgn TCASH TAP! S&K berlaku. Info tsel.me/tappromo
ham,Oke kalau untuk dp harus berapa%?
ham,"Ibunya lagi bobok, aku mau nanya ttg daging, kalo ada daging mau di presto dulu juga"
spam,PESAN RESMI dari M-KIOS PESTA ISI ULANG KRT anda terpilih men-dptkan HADIAH ke-4 cek 100jt PIN:M7H7R47 hub:custumer klik: www.snmkios-ed16.blogspot.com
ham,Harganya kisaran 50rb nama1 😂
spam,Selamat KPD pemilik NO simCARD 085643XXXXXX mendapatkan . UANG TUNAI Rp 49jt dari PT.INDOSAT pin:RWD2749 www.indosat-poin-2013.jimdo.com atau HUB 085693577707 !spam!
ham,"Sama ini, misal ini web di pake dan dapet komisi tuh, nah kita kecipratan ga? Nanya aja, hehe. Da gapapa meren nanya gitu. Engga kecipratan juga hapapa, tapi seengganya di web nya ada."
spam,SELAMAT: Anda T'rpilih L'ngsung M'ndptkan Hadiah Dr PT.TELKOMSEL Rp:75jt.U/INFO Hubungi pusat: 085245780079 Drs.H.MULYADI Pelaksana:TELKOMSEL
spam,"Selamat Paket Flash 10 MB (1 hari) Rp.2500 telah diaktifkan, berlaku s/d tgl 07/08/2016 pk. 23:59 WIB. Paket langsung diperpanjang pada akhir masa aktif paket dengan tarif sesuai lokasi Anda. Cek status/berhenti berlangganan melalui *363#. Info detail tarif lihat di Tsel.me/internet"
ham,"Tadi udah bertemu beliau pa. Kata beliau, pengujiannya bisanga besok pa."
ham,kalo aku ngasihinnya habis ashar aja gpp ?
spam,"Sebelum di bayar /di transfer harap hubungi dulu atasan saya,bpk ARDIANSAH no tlp;081563257257 soalnya ada perubahan pembayaran ."
spam,"De inih bapa pake no temen, tolong kirimin pulsa ke no inih soalnya penring banget, nanti di rumah digantiin"
spam,"Special PROMO! BONUS KUOTA 500MB (1hr)! Cukup isi ulang mulai dari 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T580"
spam,"Kesempatan jadi AGEN PULSA MKIOS ALL Operator harga V5=4500, V10=8500, V20=18rb, V25=23rb, V50=45rb, V100=90rb Cara Ketik Daftar kirim ke 087888366677"
ham,hmmm tiket ke batam berapa duit gile~
ham,"Maaf, pesan Anda belum terkirim. Silakan coba beberapa saat lagi. Terimakasih"
ham,"route nya matiin aja, jadi nanti kalau mau akses ke project masing-masing ditembak aja."
ham,"nama1  jg text dy, text essay jawaban gt Jd misal nih ada murid sama guru, si guru ngasih ujian, nanti hasil jawaban ujian murid dibandingin sama jawaban dari guru (jawaban yg bener) trs outputnya berupa skor hasil ujian itu"
spam,"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd"
ham,Ajakin ke soekarno hatta aja nama1 . Makan di eatboss soekarno hatta wkwkw
spam,"PESAN RESMI dri TRI 3Care, Slmt Anda mdpt Hadiah 1 Unit Mobil HONDA JAZZ RS. No.PIN Pemenang Anda: 47BL759. Utk Info Kunjungi: www.layanantricare-2016.jimdo.com "
spam,AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307
ham,Aduh aku ge ini pusing yg mau lamaran siapa yg nyari2 kebutuhan siapa
spam,"Assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini 0852 3173 7479, mau telpon nanti di rumah sakit saya ganti uangnya."
ham,"habis ini, pake groupwhere. biar ga berceceran filenya."
spam,"Selamat, Anda mendapatkan kuota Tsel sebesar 100SMS. Cek kuota melalui *889#. Info: www.telkomsel.com"
ham,nama1 ntr aku ke kosan kamu yaaaaa
spam,Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D
spam,"PESAN RESMI DARI TRI3CARE, SELAMAT ANDA MNDPT HADIAH 1UNT MOBIL HONDA JAZZ RS,NO.PIN PEMENANG ANDA : 47BL759 UNTUK INFO KUNJUNGI : http://gebyar-3care2016.jimdo.com"
ham,biasana sih pak nama1 sampe jam 12 kan di kampus?
ham,"bagi yang sudah diuji segera diserahkan dgn dijilid, bagi yg sdg nunggu diuji sabar tuk sesuaikan waktupenguji.."
spam,"Jumat BAIK promo, BRONET 24Jam 1GB 30hr Rp10900 dan BRONET 4GB 60hr (24Jam 2GB + 00-06 2GB) Rp24900. SEGERA aktifkan paketnya melalui *123*888#.Info838.LD268"
ham,Mah melan lagi di kosan dila. Habis kerja kelompok tapi kepegat hujan :(
spam,"Promo Terbaru Toko Artha  jaya BB Dakota 3 jt Iphone5 3,5 jt BB Onyx3 2,8 jt Camera DLL Call Sms Ke : 085335875777"
ham,Ntar aku kirim link nya
ham,"nama1  udh nama1 transfer, maacih nur 😊"
ham,Kumpul dulu aja di lab basdat biar bareng2
spam,JANGAN LUPA kirim 50 SMS sd 16 Juni 2013 utk mendptkan Gratis 50 SMS ke sesame Indosat selama 2 hr (berlaku 1x selama periode prog). Info:100. US6
spam,PESAN RESMI dr PT.Tricare Slamat No anda tpilih mndpt HADIAH 1unit Mobil Honda JAZZ Pin Pmenang anda 454647LM u/ Info Klik:www.hadiah-tricaretbk2016.jimdo.com
ham,"Oke, Senin deh ya ke kantor. Aku sms bapa. Laporan nyusul aja gt mengingat di laporan jg ada lampiran dan revisi penguji*"
ham,Hari kamis saya baru masuk
spam,"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001"
spam,"INFO RESMI: PT.INDOFOOD Selamat Anda M-DPT MOBIL NISSAN JUKE, Kejutan Pop Mie. PIN:2F5C4D7 HUBUNGI:085715023547 DRS.H.NALDISUPARMAN www.gebyarpopmie40.webs.com"
ham,"Lebay gt katanya ""meni gitu ama mamanya teh gak blg2"""
ham,Makanya sebelum tibatiba layarnya hitam gt diapain? Jatoh?
spam,"Khusus buat kamu yg doyan internetan! Cukup 10rb k, bs internetan slm 1 minggu (kuota 1,5 GB). Buruan ketik OKE ke 919. Pnwrn sd 30/09/2015 Khusus Nomor Ini."
spam,"Naik Lebih Sering, Hemat Lebih Banyak bersama GRAB!  Cukup lakukan 1 perjalanan biasa dengan GRABCAR atau GRABTAXI dan kamu akan OTOMATIS mendapatkan diskon di perjalanan berikutnya! Nikmati diskon bertahap hinga 35ribu/trip, ayo coba dan buktikan!"
ham,Minta email github nya dong.
ham,Kalo mau masak bawa bahannya dr rumah masing2 biar irit wkwk
ham,"Hbd nama1 , cepet sidang cepet wisuda yaaa aamiiiin"
spam,Maaf kami sdah menghubungi tpi tdak tersambung No.Anda resmi meraih hadiah ke-2 dari PT.M-KIOS pin;M248K81 u/info hadiah klik; www.hadiah-mkios17.blogspot.com
ham,"ok,, kabarin yah, no m3 aku ke blokir, ga ada paket data, smsin aja ke asmul ya, ini kbtulan lagi free wife"
spam,Merdeka Hot Sale 45%! Kuota 5GB 30Hari(Rp125rb) CUMA Rp68rb penawaran terbatas! Cek SEKARANG di *111*1# .D966
spam,"PLENETCELL Cari agen U/jual pulsa All operator Harga pulsa, P5=4500 P10=8500 P20=17rb Untuk info ketik:INFO kirim ke: 085280948777 Atau Hhb CS: 082328823345"
spam,2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K
ham,Ka aku ga bisa liat kosannya skrg :( soalnya ngerjain uts take home ka 
ham,"Selamat utk teman2 yg wisuda, semoga berkah ilmunya dan dilancarkan urusan kedepannya.. sukses terus buat kt semua :)"
spam,Nasabah yth.rekning tbungn anda ERROR&hrus di monitor ulang agar bisa di gunakn kmbli.maaf sblum ke kntor hrap hub pk ARYADHI dlu di.0816288602.tks
ham,Gampang da cuma tampilan doang.
ham,Traveloka.com: Your e-ticket summary 25-07-2016/15:30/XPRESS XN-738/PDG-BDO/DZZZZ Total: 1 passenger(s)
ham,Berarti saya ke palasari nya skrg .. abis itu langsung ke gik
spam,"Mau paket data Cuma 10ribuan? Buruan cek di *345#, penawaran ini hanya berlaku sebelum 1 Juli 2016"
spam,Ini rekeningnya mandiri : 900-00-1037951-0 a.n reza prasetya
ham,Kalo daftar doang tapi belum tentu jadi prasidang boleh ga?
spam,"PROMO: Beli paket Flash mulai 1,3 GB di My Telkomsel App dpt EXTRA nelpon hingga 100mnt/1hr. Buruan, promo terbatas! S&K"
spam,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB
ham,Kalau 13.5 itu untuk ayam kremes dan cabai ijo teh...kalau untuk bakar dan rica rica kita kasih 15rb deh   ...sudah pakai box dan air gelas
spam,"Dana Tunai (KTA) bunga 0,99% hingga 300 jt. Syarat KTP & CC.
Bisa Dgn BPKB rate 0.99% 3 hari CAIR . hub AYU 081584650877 (WA).mhn maaf bila menggangu"
ham,Sundae min sirup kiwi pake cochochips :*
ham,Iyaaa makanan bumbu dsb juga biar bisa dibawa dr rumah supaya irit hehehe
ham,Aku senin udah ke tempat kerja. Minggu2 depan aku gaktau bisa/ngga :(
spam,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl
ham,Boleh yang di depan ramen aa gpp jam 12.39 ya
spam,Hari ini! BRONET 24Jam 3GB 60hr Rp31900 dan BRONETSpecial 6GB 60hr (3GB 24Jam+3GB 00-06) Rp34900 di *123*888# SEGERA aktifkan paketnya sekarang!! Info838 LD300
ham,"Ada nama1 . Tpi gatau msh berfungsi atau engga, udh lama ga dipake sih"
spam,INFO RESMI Tri Care SELAMAT Nomor Anda terpilih mendapatkan Hadiah 1 Unit MOBIL Dri Tri Care Dengan PIN Pemenang: br25h99 info: www.gebeyar-3care.tk
spam,"sy RUDY dri MALAYSIA Brencana investasikan uang sy Sbagai bekal hidup di indo,sy butuh org yg bisa sy percayakan uang sy RM 5jt,bila Bsedia,sms di 085256144059"
ham,Ada yang 400 rb yang kamar mandinya sama2 kalau yang ada kamar mandi di dalam kalau yang kecil 600 dan yang agak besar 700 rb
spam,"Bella bingung bang mau nulis apa, daripada aq nulis panjang2 tapi serba salah, mending langsung ngobrol di tlpn aja deh bang ini no telp aq 0809-100-xxxx :)"
spam,Pakai handphone XL Axiata mu langsung bisa internetan pakai XL
spam,"Jangan dikejar diskon berlari, beli RAWIT diskon datang sendiri.AYO isi ulang kartu AXIS kamu sekarang,dan pastikan besok ikutan promo Rabu RAWIT.Info838.LD279"
spam,"Use my invite code, nxmvf722ue, and get a free ride up to Rp75,000. Redeem it at https://www.uber.com/invite/nxmvf722ue"
ham,"Belum diuji, pa. Insya Allah siang hari ini mau ke kampus, dan mudah2an pa eka nya ada."
ham,"Jajaran kantin 79 kesana deket2 pengkolan pokoknya kang, ada tulisanya da"
spam,Mau Liburan Gratis ke Lombok Sambil Belajar Foto? Klik http://goo.gl/FVcnW .Paket Internet HANYA Rp1500 dpt 7MB/1hr. hub *100*15# .Cek status paket di *889# <<
ham,Hub kita lg kalo udah dkt wktnya.
spam,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#"
spam,"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G."
ham,Kalau pertable emg lbh rapih laporan sih mad cuman bingung kalau pertable kdgkan ada yg dipake didr bbrp table gmn tuh mad?
spam,Nasabah BANK BRI yth; No Rek Anda Mdpt hadiah Cek Rp. 27jt Dari BRI UNTUNG BELIUNG BRITAMA Pin Anda: (ijh76k79) Info klik di www.info
ham,Maaf bu kalau pesanannya bebek atau ayam ya
spam,Yuks internetan seru-seruan dg Flash Volume Ultima kuota 1.8GB/30hr mulai dari Rp60rb sesuai zona lokasi. Hub *363*145#. Info tarif & lokasi lihat di tsel.me/FL
spam,SIM Card anda M-dptkan HADIAH 1 YUNIT MOBIL TOYOTA YARIS No.pin pemenang Anda [8JF2177] U/INFO www.hadiahtricare.blogspot.com
spam,"Sy Ajeng mendapat sms dari PT. 3Care Indonesia uang tunai Rp. 100 juta di website www.pttricare2016.blogspot.com tetapi dimintai membayar Administrasi Rp. 1,250 juta...sy juga di telpon pak Bambang Purwanto & diberi nomer rekening tujuan pembayaran Administrasi melalui Bank BRI a/n PT. TRI LESTARI bahkan dalam websitenya dicantumkan KTP Marketing Office PT. 3 Care Indonesia"
ham,"Selamat sore teh, ini dg nama1 lg nyari kosan perbulan. Apakah ada yg kosong teh disana? Terima kasih."
spam,"Ribet bolak balik cek pulsa&cek sisa kuota internetmu? Download aja aplikasi myCare, hanya 1x klik semua jadi mudah. akses di https://mycare.indosatooredoo.com"
ham,sekalian liburannya ke malaysia juga wkwk
spam,Pembayaran'nya bulan ini kalau mau di bayar harap telpon/sms dulu ke atasan kami Bpk.DEDY. Hp;085221118517.Terima kasih.
ham,22nya mad. Aku bingung bkn laporannya 😂
spam,"SLMT!! No Anda men-dpt hadiah dr:pengundian PT.TELKOMSEL No pin b89c7... Untuk melihat Hadiah Anda, silakan klik : www.telkomselpoin2222.webs.com"
ham,Masih ngerasa bersalah ama kalian sebenernya
spam,"Ya Allah, semoga yg mempunyai hp ini & keluarganya selalu dalam Kasih Sayang Mu, diberkahi rejekinya & dijauhkan dari mara bahaya"", jawab Amin jika Anda berkenan"
spam,Masih ingat dengan Warkop DKI ? Dapatkan NSP nya GRATIS dengan akses ke *600# dan dapatkan promo gratis lainnya sesuai dengan hobimu!
spam,Daptkn e-TIKET pesawat PROMO melayani Domestik and internasional booking ONLINE cepat & aman hub: 085217845777/082310204777 Link www.citiling-travel.com
spam,"SPESIAL utk kamu pelanggan setia Indosat Ooredoo. Bonus 14 hari masa aktif, 10 menit telp dan 100 SMS, CUMA isi ulang s/d 16 Desember 2015. (bonus berlaku 1x)"
spam,"Loopers, PaketTelkomselFlash Rp.50000 utk 600 MB & tambahan 600 MB di 3G + 11 GB(00-12)(berlaku 30 hari) tlh diaktifkan. Paket otomatis diperpanjang pd akhir masa aktif jika kamu berlangganan paket ini"
ham,"wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun."
spam,Pangmeulikeun heula pulsa bpa anu simpati 20ribu we ke digantian ku bpa ieu nomor na nya 081356256931
spam,"Blackberry City Jual Blackberry Discond 40% Dakota 2,5jt Torch2 2,2jt Onyx3 2,1jt Davis 1,3jt Gemini 3G 1,1jt U/info Hub: Ibu.Anita 081315277257 PIN BB:29762D76"
spam,"Gratis 120 menit Nelpon ke Sesama Indosat, 120 SMS ke Sesama Indosat&12 MB Internet slma 12 JAM tiap Isi Ulang 12 Rb.IsiUlang pulsamu 12Rb &Nikmati GRATISANnya"
spam,Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956
ham,Soalnya bapa mau liat database secara keseluruhan.
spam,"Maaf' Soal Angsuran bulan ini Pembayaran harus melalui ke bpk.Yogi, HP: 08562115779, soalnya sdh dikuasakan"
spam,Paket Flash anda 10 MB utk 1 hari akan berakhir pd 08/07/2016. Tarif non paket berlaku setelah tgl tsb. Info hubungi *363#. Cek Kuota *889#.
spam,"Penawaran Spesial, Obral Paket Data 1.5 GB(00-24)+nelpon sepuasnya ke nmr Indosat hanya Rp20rb utk 1minggu.Daftar skrg ketik YA ke 929 berlaku hari ini RTX1"
spam,"Plg Yth,no Anda men-dpt hadiah dr: pengundiang PT. INDOSAT pin anda:b89c7h9 U/Melihat hadiah Anda klik: www.pemenangindosat-poin.webs.com"
ham,nama1 ke pt. inti?
ham,Paspor di perpanjang bayar nya brp nuy?
spam,"SELAMAT, Anda memenangkan 1 UNIT MOBIL FREED dr TELKOMSEL, Edisi THN 2013 di undi tdi mlm pkl 23:30 di RCTI U/info Hub : 082329676767 H. MULYADI Pengirim : +777"
spam,"Transfer ke Bank xxx saja a/n xxx No rek 7390685xxx, kalau sudah ditransfer SMS ke no ini ya!"
spam,"Flash Promo s.d 9 Agt! Ayo datangi Gallery Smartfren terdekat, DISKON 290rb dg tukar HP Smartfrenmu ke Andromax 4G LTE atau 190 utk tukar dg MiFi 4G LTE"
spam,Gunakan TCASH untuk bayar tagihan listrik atau beli token listrik! Cukup hubungi *800# dan pilih menu pembayaran atau pembelian
ham,"bulan depan ada daging sapi, mau dibakar dmna ? d pantai atau d rumah nama1 ?"
spam,Ini nomor rekeningnya: 5829-01-012786-534. BRI a/n Andika Septiana.
spam,"Ma"" belikan dulu besok pulsa 20rbu di no baruku ini 085340781778 penting"
spam,Selamat Paket 50 SMS ke semua operator Anda telah aktif. Cek kuota di *888#
spam,Mau Nissan Juke?Ayo beli POPMIE skrg dan kirim kodenya di *200*200*Kodeuniq# siapa tahu kamu pemenangnya.Hati2 penipuan CS:02171790989 klik http://goo.gl/dm7PK
spam,PESAN RESMI Selamat No Simcard Anda M-dptkan Hadiah Cek Rp.100juta dr TRI CARE Pin: 7Y7R8K9Z Info Kelik:www.situstricare77.blogspot.com
spam,"PESAN RESMI dri TRI CARE Selamat anda m-dptkan hadiah CEK TUNAI Sebesar Rp.45jt Pin undian 94AD653, U/Info kunjungi;www.undian-bimatri.blogspot.com"
ham,"Udah di beres2in, tp lampu depannya ada yg mati kl gasalah"
spam,Terima kasih telah menjadi Sahabat IndosatOoredoo. Mau tahu RAHASIA2 TERHEBOH ARTIS-ARTIS TOP + bonus gratis nelpon 60 menit?Tlp *700*1#
ham,Ayam kita menunya banyak bu...ada ayam bakar.kremes. cabe ijo. Lada hitam. Asam manis. Rica rica. Baberque. Untuk isinya nasi.ayam.lalapan.sambal. tempe tahu . air mineral gelas. Bu...maaf bu kita ada paket yang 16rb s/d 19rb. Kalau boleh tau anggaran ibu berapa ya
spam,ANDA MAU MENANG TOGEL 100% Tembus pasang shio 7 tunggal angka 07.31.19.43....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran SGP SENIN
ham,"Kumpulnya makan daging, jadi gak usah ke resto :D"
ham,Tp berapa lama lagi ya Pak?
spam,"ini nomor baru papa, tolong kirimin pulsa 50.000 ke nomor baru papa 085687329010. Papa lagi di kantor polisi, ada masalah. Jangan telepon Papa."
spam,Hi Trims kmu udh gabung layanan Bung Gita Bicara Bola!Dpt info menarik n Prediksi Akurat dr Bung Gita! 3info/mg 2rb/sms.Stop: unreg Gita ke 3450.CS:0215649770
spam,Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id
ham,"nama1  titip pesan, jumat pagi kita kumpul trus bapa minta tolong ke kita buat bareng2 bujuk nama1 kuliah lagi"
ham,Asal pagi pagi ya.. Bjam 10an saya sudah ke jakarta..
ham,"Aku jg waktu itu foto tgl 17 juli, katanya selesai 29 agustus :("
spam,"BIG SALE !!! DISCOUND 40% Z10-4,4jt IPHONE 5 32GB-3,7jt S.NOTE 2-3,8jt CAMERA, LAPTOP dll PIN BB 28AB8391 Call/sms: 0897-9844-777 Kunjungi www.indracell.com"
ham,Sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi. Kalau obat kan ga ada yang ngolah.
spam,"HARI TERAKHIR! Kunjungi Galeri Smartfren skrng, buat kamu Andromax A 4G jd 99rb (nrml 649rb). Tunggu apa lagi?!Stok terbatas.sd 22Agt.S&K.Info888.DL46J"
ham,Diagnosa mana? Di pasien_irj ga ada diagnosa
ham,Saat2 terbaik mencari pasangan tuh pas kuliah bukan sih?  Apa enak ditempat kerja? 
spam,"MEGA CELL Cari agen pulsa 1 Cip ke semua Operator Harga : V.5 = 4000 V.10 =8000 V.20 =16rb, dll Berminat ketik INFO kirim ke :085352444400"
ham,"Guys, untuk groupwherenya pake github aja ya "
spam,"GRATIS PULSA hingga 250rb selama 7Hari 7Malam CUMA dg isi ulang mulai 10rb. Daftar SEGERA, ketik: GRATIS krm ke123(Reg ckp 1kali)Info: ketik INFO krm ke 123"
ham,Okeyyy malem aja ya bahas apa ajanya yg dibawa
spam,"Seminar ke Denpasar Bali mewakili kemahasiswaan & kewirausahaan dapat biaya transport Rp 10 juta. Nomor Peserta 100/semnas/9997175/dikti/2011. Direktur Kemahasiswaan DIKTI Prof. Dr. Joko Purwanto, M.Si. Hubungi 081281108799 Wahyudin Zarkasi. No. referensi PTX:001/3591/0100/1572/503"
spam,Ini Rekeningnya. bank MANDIRI. a/n: ALI SYAMSUDIN. rek: 136-001-198-6939
ham,Minggunya pengen ke lembang git seharian ngubek bandung :(
ham,"InsyaaAllah ikhlas mel, asa udah di bahas digrup kan, Trs yg responnya gt"
ham,Min kalo ada inpo kosan perbulan share ya 😆
spam,Karena kamu pelanggan setia kamu bisa tukarkan hp smartfrenmu dg Andromax E 4G LTE hny 859rb(nrml 999rb). Segera ke Galeri Smartfren
ham,kalo ngga besok ke kampus senin  nama1 ke kampus nya 
spam,PT M-TRONIK Telah hubungi anda namun tdk tersambung no anda resmi meraih hadiah ke-2 pin 25e477r cek hadiah anda di www.hadiahmtronik-2016.tk
ham,Semangat!! Aku jg nanti bunganya aku titipin ya. Eh mau bunga atau makanan wid?
ham,Blm mad ntr sore td udh ktmu
ham,Udah aa aa semua sih. Makan mah sama cewek2. Lupa ih mukanya dy aku gak bisa nginget wajah hahaha
ham,Jadi kapan kita meet upnyaa nih temaan temaan?
spam,"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY 082134976289(wa)/087888869297. LEGAL"
ham,"Baik Pak, berarti nanti Kamis kami ke kantor lagi"
spam,"Ass, mengenai rumah dan tanah yg kemarin, sy sdah survei, sy mrasa cocok, untuk nego harga hubungi atau sms suami saya, pak. haji. dermawan; 085796022225."
ham,Pak kalau seporsi berapa ya ?
spam,"DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!"
spam,"toko bursa cuci gudang diskon 60% BB DAKOTA ; 2,3 JT, TOCH ; 1,6 JT, GEMINI ; 1 JT, LAPTOP INFO : 085322222369 PIN BB : 2A6FB800E www.shopinbursabb.blogspot.com"
spam,"tolong uangnya di kirim ke rekening ini aja,BRI, A/N: HASAN MAHMUD. REK: 3292-0101-9525-532. Sms aja klau sudah di kirim,makasih."
spam,"Paket Internet BRONET 24 JAM 2GB, 60hr Kamu sudah aktif & otomatis diperpanjang 27-10-2016 jam 23:59. Info838"
spam,Hari Senin saatnya Nonton Hemat hanya 25ribu di Cinema XXI dgn TCASH TAP! Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo
ham,Ada nya instagram
ham,"pesan dari nama1 : Assalamu'alaikum wr.wb. Pak, Indonesia Android Kejar bekerjasama dengan Depilkom mau mengadakan pelatihan Android level intermediate, masih ada slot 2 orang lagi, syaratnya sudah pernah membuat app android dan ngebuild menggunakan Android Studio, barang kali di kelas Bapak ada yang berminat. Nuhun.o ya pelatihannya mulai hari sabtu besok, 2 April, setiap sabtu selama 7 pertemuan, bertempat di lab praktikum kita."
spam,PESAN RESMI PT.3Care Indonesia Berkat isi Ulang No. Anda M-dptkan hadiah ke-3 Dengan kode PIN Anda (B8337H9) U/info hadiah klik; www.hadiah-pt3care34.blogspot.com
spam,Selamat !!! Anda mndptkan cek tunai Rp.27jt dr PT.Bank Rakyat Indonesia pin anda:ijh76k79 u/info klik www.bri-untungbeliung.blogspot.com atau hub:021-3677-1839
ham,"Ada sih yg nikah muda tp (keliatan) bahagia, tp one of a million kayaknya kalo temen2 ku hmm"
spam,"Selamat!anda mdptkan satu unit MOBIL NISSAN JUKE dr PT.INDOFOOD pin_anda 27tdn55 u/info pengambilan Hadiah, kunjungi website www.popmieget-lucky.blogspot.com"
ham,"punten, ada yang punya kontaknya teh lulu 2011? nuhuun~"
ham,Baru ngeh chatnya maafkan (maaf)
ham,"selisihnya brp? sesuai janji saya sbelumhya, bagi yg nilainya diperbatasan saya akan cek kehadiran. Tapi kalau jauh ya  gak bisa :)  nanti gak ada habisnya turun terus."
spam,"Slmat No anda m-dpt dana bantuan Rp.55jt'dr PT SIDOMUNCUL u/info hub;ir,HJ,MULIYADI 0852-3377-1855 PELAKSANA;PT SIDOMUNCUL"
spam,dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah Program s.d 9 Agustus 2013
spam,Selamat!anda m-dptkan Hadiah Cek Tunai Rp. 15jt dari INDOSAT Pin_anda 277fg49 U/info pengambilan Hadiah kunjungi website indosat www.hadiah-indosat.blogspot.com
spam,Nikmati EXTRA 2GB 4G LTE + EXTRA kuota hingga 1GB midnight dg beli pkt FLASH 1GB/30hr mulai Rp 43rb di *363*49# Cek tarif di tsel.me/FL SKB
spam,"Terima kasih telah menjadi Sahabat IndosatOoredoo. Download Video + BONUS GRATIS Nelpon 60 Menit, hubungi *900*8#"
spam,Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. 085217984299 Dijamin 100% tembus
spam,TSELpoin 777 kejutan POIN Hadiah Rp.15jt Resmi diberikan 0852212XXXXX PIN-b7Bc247 u/info Hub/CS; PT.TELKOMSEL 021-40467488 021-50219992 Pengirim; +777
ham,Hehe sudah sep ku jebol pake solder tp jd jelek 😂😂
spam,Pelanggan Yth..M-KIOS CELL Menawarkan pendaftaran Cip M-kios & Token PLN harga pulsa :V5: Rp.4300 V10: 8300 Utk bergabung Ketik INFO kirim ke 089652018503
spam,Yth Isti Sofiyah. Diminta Segera Hubungi Bpk Drs.H .Lalu Safi’ i M.Pd. Kadisdik NTB.08531166 6557 Perihal Seminar Gratis Dari DIKTI. (Bu Sri TU.Diknas)
